Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
Petrol,64000,Manual,1,Hyundai,Hyundai Creta,2018,844999.9999999999,2018,5,1591,15.8,Kolkata,6
Petrol,62202,Manual,1,Maruti,Maruti Alto 800,2016,215000.0,2017,5,796,22.05,Kolkata,8
Petrol,47000,Manual,1,Honda,Honda City,2018,725000.0,2018,5,1497,17.4,Kolkata,6
Cng,13145,Manual,1,Tata,Tata Tigor,2022,772000.0,2022,5,1199,26.49,Kolkata,2
Petrol,119490,Manual,1,Hyundai,Hyundai EON,2017,254999.99999999997,2017,5,814,21.1,Kolkata,7
Diesel,8000,Manual,1,Mahindra,Mahindra XUV500,2021,1673999.9999999998,2021,7,2179,15.1,Kolkata,3
Diesel,45000,Manual,1,Honda,Honda City,2015,525000.0,2015,5,1498,25.1,Kolkata,9
Petrol,46422,Manual,1,Maruti,Maruti Wagon R Stingray,2016,295000.0,2016,5,998,20.51,Kolkata,8
Petrol,64000,Manual,3,Hyundai,Hyundai i10,2014,235000.0,2014,5,1197,20.36,Kolkata,10
Diesel,52000,Manual,1,Volkswagen,Volkswagen Ameo,2020,495000.0,2020,5,1498,21.66,Kolkata,4
Petrol,25000,Manual,1,Honda,Honda City,2019,685000.0,2019,5,1497,16.8,Kolkata,5
Petrol,15000,Manual,2,Hyundai,Hyundai EON,2013,186000.0,2013,5,814,21.1,Kolkata,11
Petrol,45000,Manual,1,Kia,Kia Seltos,2020,1265000.0,2020,5,1353,16.5,Kolkata,4
Petrol,65000,Automatic,1,Hyundai,Hyundai Creta,2018,894999.9999999999,2018,5,1591,14.8,Kolkata,6
Diesel,65000,Manual,1,Jeep,Jeep Compass,2018,950000.0,2018,5,1956,17.1,Kolkata,6
Petrol,21628,Manual,1,Honda,Honda City,2019,727000.0,2019,5,1497,17.4,Kolkata,5
Petrol,8347,Manual,1,Maruti,Maruti Swift,2016,426999.99999999994,2016,5,1197,22.38,Kolkata,8
Diesel,72057,Manual,2,Mahindra,Mahindra Scorpio,2016,875000.0,2016,7,2179,15.4,Kolkata,8
Petrol,52549,Manual,1,Hyundai,Hyundai Grand i10,2017,349000.0,2017,5,1197,18.9,Kolkata,7
Petrol,44540,Automatic,2,Honda,Honda City,2014,450000.0,2014,5,1497,18.0,Kolkata,10
Petrol,44000,Manual,2,Maruti,Maruti Swift,2014,320000.0,2014,5,1197,18.6,Kolkata,10
Diesel,53084,Manual,1,Hyundai,Hyundai Grand i10 Nios,2019,646000.0,2020,5,1186,26.2,Kolkata,5
