Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
1.0,5e-05,0.0,1,12.0,100.0,2023,2000000.0,2023,5,1998,19.0,4.0,1
4.0,2.977785718539694e-05,0.0,2,14.0,114.0,2020,7900000.0,2020,5,1997,15.8,4.0,4
4.0,2.173676774263667e-05,1.0,1,9.0,87.0,2014,254999.99999999997,2014,5,1197,20.36,4.0,10
1.0,0.0003898635477582846,0.0,1,16.0,118.0,2021,3450000.0,2021,6,1996,12.4,4.0,3
4.0,3.571428571428572e-05,0.0,1,20.0,173.0,2018,535000.0,2018,5,1197,22.0,4.0,6
4.0,3.125e-05,0.0,1,8.0,65.0,2015,440000.00000000006,2015,5,1199,18.2,4.0,9
4.0,2.2222222222222223e-05,1.0,1,20.0,174.0,2009,225000.0,2009,5,1298,17.5,4.0,15
1.0,1.2728314134792847e-05,1.0,1,17.0,142.0,2019,1295000.0,2019,7,2179,15.1,4.0,5
4.0,9.806805923310778e-05,0.0,1,16.0,119.0,2022,1792000.0000000002,2022,5,1451,14.0,4.0,2
4.0,1.6666666666666667e-05,1.0,2,9.0,73.0,2014,180000.0,2014,5,814,21.1,4.0,10
4.0,3.0446961393252954e-05,1.0,1,8.0,62.0,2017,602000.0,2018,5,1497,17.8,4.0,7
0.0,0.00019238168526356292,1.0,1,28.0,259.0,2022,743000.0,2023,5,1199,26.49,4.0,2
4.0,2.5e-05,1.0,1,9.0,88.0,2013,335000.0,2013,5,1197,18.5,4.0,11
4.0,5.1666236114699044e-05,0.0,1,27.0,239.0,2019,750000.0,2019,5,1598,14.84,4.0,5
4.0,1.6666666666666667e-05,1.0,1,20.0,174.0,2010,240000.0,2010,5,1298,17.5,4.0,14
4.0,3.205436420168606e-05,1.0,1,20.0,177.0,2019,474000.0,2019,5,998,21.79,4.0,5
4.0,0.00015035333032626674,1.0,1,4.0,38.0,2021,346000.0,2021,5,999,21.7,4.0,3
4.0,1.6666666666666667e-05,1.0,3,2.0,32.0,2009,7000000.0,2009,5,995,18.0,4.0,15
4.0,2.857142857142857e-05,1.0,1,8.0,59.0,2018,745000.0,2018,7,1497,15.4,4.0,6
4.0,1.7543859649122806e-05,1.0,1,8.0,62.0,2013,335000.0,2013,5,1497,16.8,4.0,11
4.0,1.981414333551289e-05,0.0,1,8.0,62.0,2016,550000.0,2016,5,1497,18.0,4.0,8
4.0,3.125e-05,1.0,1,20.0,173.0,2018,524000.0,2018,5,1197,22.0,4.0,6
4.0,2.777777777777778e-05,0.0,1,29.0,266.0,2016,850000.0,2016,5,1798,14.28,4.0,8
4.0,3.3333333333333335e-05,1.0,1,4.0,38.0,2018,210000.0,2018,5,799,22.7,4.0,6
1.0,1.4696804914611564e-05,0.0,1,17.0,142.0,2018,999000.0,2018,7,2179,16.0,4.0,6
4.0,1.5384615384615384e-05,1.0,2,9.0,87.0,2014,229999.99999999997,2014,5,1197,20.36,4.0,10
4.0,4.1666666666666665e-05,1.0,1,20.0,173.0,2020,549000.0,2020,5,1197,20.4,4.0,4
1.0,1.2055745768433235e-05,1.0,1,20.0,157.0,2016,520000.0,2016,5,1248,28.09,4.0,8
4.0,4.317416457991538e-05,1.0,2,20.0,181.0,2010,141000.0,2010,5,998,19.0,4.0,14
4.0,2.2222222222222223e-05,1.0,1,20.0,169.0,2010,129000.0,2010,5,1197,18.5,4.0,14
4.0,0.0001373437714599643,1.0,2,8.0,68.0,2020,641000.0,2020,5,1199,17.5,4.0,4
4.0,3.398124235422047e-05,1.0,1,9.0,89.0,2016,466000.0,2016,5,1197,17.19,4.0,8
4.0,1.5625e-05,1.0,1,9.0,72.0,2018,844999.9999999999,2018,5,1591,15.8,4.0,6
4.0,1.607665348381081e-05,1.0,1,20.0,149.0,2016,215000.0,2017,5,796,22.05,4.0,8
